,Constituency,Ward,Relativity
375,South Imenti,Igoji East,1.0
376,South Imenti,Igoji West,1.0
377,South Imenti,Abogeta East,1.0
378,South Imenti,Abogeta West,1.0
379,South Imenti,Nkuene,1.0
380,Maara,Mitheru,1.0
381,Maara,Muthambi,1.0
382,Maara,Mwimbi,1.0
383,Maara,Ganga,1.0
384,Maara,Chogoria,1.0
385,Chuka/Igambang'Ombe,Mariani,1.0
386,Chuka/Igambang'Ombe,Karingani,1.0
387,Chuka/Igambang'Ombe,Magumoni,1.0
388,Chuka/Igambang'Ombe,Mugwe,1.0
389,Chuka/Igambang'Ombe,Igambang'Ombe,1.0
390,Tharaka,Gatunga,1.0
391,Tharaka,Mukothima,1.0
392,Tharaka,Nkondi,1.0
393,Tharaka,Chiakariga,1.0
394,Tharaka,Marimanti,1.0
395,Manyatta,Ruguru/Ngandori,1.0
396,Manyatta,Kithimu,1.0
397,Manyatta,Nginda,1.0
398,Manyatta,Mbeti North,1.0
399,Manyatta,Kirimari,1.0
400,Manyatta,Gaturi South,1.0
401,Manyatta,Gaturi North,1.0
402,Runyenjes,Kagaari South,1.0
403,Runyenjes,Central  Ward,1.0
404,Runyenjes,Kagaari North,1.0
405,Runyenjes,Kyeni North,1.0
406,Runyenjes,Kyeni South,1.0
407,Mbeere South,Mwea,1.0
408,Mbeere South,Makima,1.0
409,Mbeere South,Mbeti South,1.0
410,Mbeere South,Mavuria,1.0
411,Mbeere South,Kiambere,1.0
412,Mbeere North,Nthawa,1.0
413,Mbeere North,Muminji,1.0
414,Mbeere North,Evurore,1.0
415,Mwingi North,Ngomeni,1.0
416,Mwingi North,Kyuso,1.0
417,Mwingi North,Mumoni,1.0
418,Mwingi North,Tseikuru,1.0
419,Mwingi North,Tharaka,1.0
420,Mwingi West,Kyome/Thaana,1.0
421,Mwingi West,Nguutani,1.0
422,Mwingi West,Migwani,1.0
423,Mwingi Central,Kiomo/Kyethani,1.0
424,Mwingi Central,Central,1.0
425,Mwingi Central,Kivou,1.0
426,Mwingi Central,Nguni,1.0
427,Mwingi Central,Nuu,1.0
428,Mwingi Central,Mui,1.0
429,Mwingi Central,Waita,1.0
430,Kitui West,Mutonguni,1.0
431,Kitui West,Kauwi,1.0
432,Kitui West,Matinyani,1.0
433,Kitui West,Kwa Mutonga/Kithumula,1.0
434,Kitui Rural,Kisasi,1.0
435,Kitui Rural,Mbitini,1.0
436,Kitui Rural,Kwavonza/Yatta,1.0
437,Kitui Rural,Kanyangi,1.0
438,Kitui Rural,Mulango,1.0
439,Kitui Central,Miambani,1.0
440,Kitui Central,Township,1.0
441,Kitui Central,Kyangwithya West,1.0
442,Kitui Central,Kyangwithya East,1.0
443,Kitui East,Zombe/Mwitika,1.0
444,Kitui East,Nzambani,1.0
445,Kitui East,Chuluni,1.0
446,Kitui East,Voo/Kyamatu,1.0
447,Kitui East,Endau/Malalani,1.0
448,Kitui East,Mutito/Kaliku,1.0
449,Kitui South,Ikanga/Kyatune,1.0
450,Kitui South,Mutomo,1.0
451,Kitui South,Mutha,1.0
452,Kitui South,Ikutha,1.0
453,Kitui South,Kanziko,1.0
454,Kitui South,Athi,1.0
455,Masinga,Kivaa,1.0
456,Masinga,Masinga Central,1.0
457,Masinga,Ekalakala,1.0
458,Masinga,Muthesya,1.0
459,Masinga,Ndithini,1.0
460,Yatta,Ndalani,1.0
461,Yatta,Matuu,1.0
462,Yatta,Kithimani,1.0
463,Yatta,Ikombe,1.0
464,Yatta,Katangi,1.0
465,Kangundo,Kangundo North,1.0
466,Kangundo,Kangundo Central,1.0
467,Kangundo,Kangundo East,1.0
468,Kangundo,Kangundo West,1.0
469,Matungulu,Tala,1.0
470,Matungulu,Matungulu North,1.0
471,Matungulu,Matungulu East,1.0
472,Matungulu,Matungulu West,1.0
473,Matungulu,Kyeleni,1.0
474,Kathiani,Mitaboni,1.0
475,Kathiani,Kathiani Central,1.0
476,Kathiani,Upper Kaewa/Iveti,1.0
477,Kathiani,Lower Kaewa/Kaani,1.0
478,Mavoko,Athi River,1.0
479,Mavoko,Kinanie,1.0
480,Mavoko,Muthwani,1.0
481,Mavoko,Syokimau/Mulolongo,1.0
482,Machakos Town,Kalama,1.0
483,Machakos Town,Mua,1.0
484,Machakos Town,Mutituni,1.0
485,Machakos Town,Machakos Central,1.0
486,Machakos Town,Mumbuni North,1.0
487,Machakos Town,Muvuti/Kiima-Kimwe,1.0
488,Machakos Town,Kola,1.0
489,Mwala,Mbiuni,1.0
490,Mwala,Makutano/Mwala,1.0
491,Mwala,Masii,1.0
492,Mwala,Muthetheni,1.0
493,Mwala,Wamunyu,1.0
494,Mwala,Kibauni,1.0
495,Mbooni,Tulimani,1.0
496,Mbooni,Mbooni,1.0
497,Mbooni,Kithungo/Kitundu,1.0
498,Mbooni,Kisau-Kiteta,1.0
499,Mbooni,Waia/Kako,1.0
500,Mbooni,Kalawa,1.0
501,Kilome,Kasikeu,1.0
502,Kilome,Mukaa,1.0
503,Kilome,Kiima Kiu/Kalanzoni,1.0
504,Kaiti,Ukia,1.0
505,Kaiti,Kee,1.0
506,Kaiti,Kilungu,1.0
507,Kaiti,Ilima,1.0
508,Makueni,Wote,1.0
509,Makueni,Muvau/Kikuumini,1.0
510,Makueni,Mavindini,1.0
511,Makueni,Kitise/Kithuki,1.0
512,Makueni,Kathonzweni,1.0
513,Makueni,Nzaui/Kilili/Kalamba,1.0
514,Makueni,Mbitini,1.0
515,Kibwezi West,Makindu,1.0
516,Kibwezi West,Nguumo,1.0
517,Kibwezi West,Kikumbulyu North,1.0
518,Kibwezi West,Kikumbulyu South,1.0
519,Kibwezi West,Nguu/Masumba,1.0
520,Kibwezi West,Emali/Mulala,1.0
521,Kibwezi East,Masongaleni,1.0
522,Kibwezi East,Mtito Andei,1.0
523,Kibwezi East,Thange,1.0
524,Kibwezi East,Ivingoni/Nzambani,1.0
525,Kinangop,Engineer,1.0
526,Kinangop,Gathara,1.0
527,Kinangop,North Kinangop,1.0
528,Kinangop,Murungaru,1.0
529,Kinangop,Njabini\Kiburu,1.0
530,Kinangop,Nyakio,1.0
531,Kinangop,Githabai,1.0
532,Kinangop,Magumu,1.0
533,Kipipiri,Wanjohi,1.0
534,Kipipiri,Kipipiri,1.0
535,Kipipiri,Geta,1.0
536,Kipipiri,Githioro,1.0
537,Ol Kalou,Karau,1.0
538,Ol Kalou,Kanjuiri Range,1.0
539,Ol Kalou,Mirangine,1.0
540,Ol Kalou,Kaimbaga,1.0
541,Ol Kalou,Rurii,1.0
542,Ol Jorok,Gathanji,1.0
543,Ol Jorok,Gatimu,1.0
544,Ol Jorok,Weru,1.0
545,Ol Jorok,Charagita,1.0
546,Ndaragwa,Leshau Pondo,1.0
547,Ndaragwa,Kiriita,1.0
548,Ndaragwa,Central,1.0
549,Ndaragwa,Shamata,1.0
550,Tetu,Dedan Kimanthi,1.0
551,Tetu,Wamagana,1.0
552,Tetu,Aguthi-Gaaki,1.0
553,Kieni,Mweiga,1.0
554,Kieni,Naromoru Kiamathaga,1.0
555,Kieni,Mwiyogo/Endarasha,1.0
556,Kieni,Mugunda,1.0
557,Kieni,Gatarakwa,1.0
558,Kieni,Thegu River,1.0
559,Kieni,Kabaru,1.0
560,Kieni,Gakawa,1.0
561,Mathira,Ruguru,1.0
562,Mathira,Magutu,1.0
563,Mathira,Iriaini,1.0
564,Mathira,Konyu,1.0
565,Mathira,Kirimukuyu,1.0
566,Mathira,Karatina Town,1.0
567,Othaya,Mahiga,1.0
568,Othaya,Iria-Ini,1.0
569,Othaya,Chinga,1.0
570,Othaya,Karima,1.0
571,Mukurweini,Gikondi,1.0
572,Mukurweini,Rugi,1.0
573,Mukurweini,Mukurwe-Ini West,1.0
574,Mukurweini,Mukurwe-Ini Central,1.0
575,Nyeri Town,Kiganjo/Mathari,1.0
576,Nyeri Town,Rware,1.0
577,Nyeri Town,Gatitu/Muruguru,1.0
578,Nyeri Town,Ruring'U,1.0
579,Nyeri Town,Kamakwa/Mukaro,1.0
580,Mwea,Mutithi,1.0
581,Mwea,Kangai,1.0
582,Mwea,Thiba,1.0
583,Mwea,Wamumu,1.0
584,Mwea,Nyangati,1.0
585,Mwea,Murinduko,1.0
586,Mwea,Gathigiriri,1.0
587,Mwea,Tebere,1.0
588,Gichugu,Kabare,1.0
589,Gichugu,Baragwi,1.0
590,Gichugu,Njukiini,1.0
591,Gichugu,Ngariama,1.0
592,Gichugu,Karumandi,1.0
593,Ndia,Mukure,1.0
594,Ndia,Kiine,1.0
595,Ndia,Kariti,1.0
596,Kirinyaga Central,Mutira,1.0
597,Kirinyaga Central,Kanyekini,1.0
598,Kirinyaga Central,Kerugoya,1.0
599,Kirinyaga Central,Inoi,1.0
600,Kangema,Kanyenya-Ini,1.0
601,Kangema,Muguru,1.0
602,Kangema,Rwathia,1.0
603,Mathioya,Gitugi,1.0
604,Mathioya,Kiru,1.0
605,Mathioya,Kamacharia,1.0
606,Kiharu,Wangu,1.0
607,Kiharu,Mugoiri,1.0
608,Kiharu,Mbiri,1.0
609,Kiharu,Township,1.0
610,Kiharu,Murarandia,1.0
611,Kiharu,Gaturi,1.0
612,Kigumo,Kahumbu,1.0
613,Kigumo,Muthithi,1.0
614,Kigumo,Kigumo,1.0
615,Kigumo,Kangari,1.0
616,Kigumo,Kinyona,1.0
617,Maragwa,Kimorori/Wempa,1.0
618,Maragwa,Makuyu,1.0
619,Maragwa,Kambiti,1.0
620,Maragwa,Kamahuha,1.0
621,Maragwa,Ichagaki,1.0
622,Maragwa,Nginda,1.0
623,Kandara,Ng'Araria,1.0
624,Kandara,Muruka,1.0
625,Kandara,Kagundu-Ini,1.0
626,Kandara,Gaichanjiru,1.0
627,Kandara,Ithiru,1.0
628,Kandara,Ruchu,1.0
629,Gatanga,Ithanga,1.0
