Ward_Code,Ward_Name,County_Name,Constituency_Code,Constituency_Name
422,Kilungu,Makueni,85,Kaiti
423,Ilima,Makueni,85,Kaiti
424,Wote,Makueni,86,Makueni
425,Muvau/Kikuumini,Makueni,86,Makueni
426,Mavindini,Makueni,86,Makueni
427,Kitise/Kithuki,Makueni,86,Makueni
428,Kathonzweni,Makueni,86,Makueni
429,Nzaui/Kilili/Kalamba,Makueni,86,Makueni
430,Mbitini,Makueni,86,Makueni
431,Makindu,Makueni,87,Kibwezi West
432,Nguumo,Makueni,87,Kibwezi West
433,Kikumbulyu North,Makueni,87,Kibwezi West
434,Kikumbulyu South,Makueni,87,Kibwezi West
435,Nguu/Masumba,Makueni,87,Kibwezi West
436,Emali/Mulala,Makueni,87,Kibwezi West
437,Masongaleni,Makueni,88,Kibwezi East
438,Mtito Andei,Makueni,88,Kibwezi East
439,Thange,Makueni,88,Kibwezi East
440,Ivingoni/Nzambani,Makueni,88,Kibwezi East
441,Engineer,Nyandarua,89,Kinangop
442,Gathara,Nyandarua,89,Kinangop
443,North Kinangop,Nyandarua,89,Kinangop
444,Murungaru,Nyandarua,89,Kinangop
445,Njabini\Kiburu,Nyandarua,89,Kinangop
446,Nyakio,Nyandarua,89,Kinangop
447,Githabai,Nyandarua,89,Kinangop
448,Magumu,Nyandarua,89,Kinangop
449,Wanjohi,Nyandarua,90,Kipipiri
450,Kipipiri,Nyandarua,90,Kipipiri
451,Geta,Nyandarua,90,Kipipiri
452,Githioro,Nyandarua,90,Kipipiri
453,Karau,Nyandarua,91,Ol Kalou
454,Kanjuiri Range,Nyandarua,91,Ol Kalou
455,Mirangine,Nyandarua,91,Ol Kalou
456,Kaimbaga,Nyandarua,91,Ol Kalou
457,Rurii,Nyandarua,91,Ol Kalou
458,Gathanji,Nyandarua,92,Ol Jorok
459,Gatimu,Nyandarua,92,Ol Jorok
460,Weru,Nyandarua,92,Ol Jorok
461,Charagita,Nyandarua,92,Ol Jorok
462,Leshau Pondo,Nyandarua,93,Ndaragwa
463,Kiriita,Nyandarua,93,Ndaragwa
464,Central,Nyandarua,93,Ndaragwa
465,Shamata,Nyandarua,93,Ndaragwa
466,Dedan Kimanthi,Nyeri,94,Tetu
467,Wamagana,Nyeri,94,Tetu
468,Aguthi-Gaaki,Nyeri,94,Tetu
469,Mweiga,Nyeri,95,Kieni
470,Naromoru Kiamathaga,Nyeri,95,Kieni
471,Mwiyogo/Endarasha,Nyeri,95,Kieni
472,Mugunda,Nyeri,95,Kieni
473,Gatarakwa,Nyeri,95,Kieni
474,Thegu River,Nyeri,95,Kieni
475,Kabaru,Nyeri,95,Kieni
476,Gakawa,Nyeri,95,Kieni
477,Ruguru,Nyeri,96,Mathira
478,Magutu,Nyeri,96,Mathira
479,Iriaini,Nyeri,96,Mathira
480,Konyu,Nyeri,96,Mathira
481,Kirimukuyu,Nyeri,96,Mathira
482,Karatina Town,Nyeri,96,Mathira
483,Mahiga,Nyeri,97,Othaya
484,Iria-Ini,Nyeri,97,Othaya
485,Chinga,Nyeri,97,Othaya
486,Karima,Nyeri,97,Othaya
487,Gikondi,Nyeri,98,Mukurweini
488,Rugi,Nyeri,98,Mukurweini
489,Mukurwe-Ini West,Nyeri,98,Mukurweini
490,Mukurwe-Ini Central,Nyeri,98,Mukurweini
491,Kiganjo/Mathari,Nyeri,99,Nyeri Town
492,Rware,Nyeri,99,Nyeri Town
493,Gatitu/Muruguru,Nyeri,99,Nyeri Town
494,Ruring'U,Nyeri,99,Nyeri Town
495,Kamakwa/Mukaro,Nyeri,99,Nyeri Town
496,Mutithi,Kirinyaga,100,Mwea
497,Kangai,Kirinyaga,100,Mwea
498,Thiba,Kirinyaga,100,Mwea
499,Wamumu,Kirinyaga,100,Mwea
500,Nyangati,Kirinyaga,100,Mwea
501,Murinduko,Kirinyaga,100,Mwea
502,Gathigiriri,Kirinyaga,100,Mwea
503,Tebere,Kirinyaga,100,Mwea
504,Kabare,Kirinyaga,101,Gichugu
505,Baragwi,Kirinyaga,101,Gichugu
506,Njukiini,Kirinyaga,101,Gichugu
507,Ngariama,Kirinyaga,101,Gichugu
508,Karumandi,Kirinyaga,101,Gichugu
509,Mukure,Kirinyaga,102,Ndia
510,Kiine,Kirinyaga,102,Ndia
511,Kariti,Kirinyaga,102,Ndia
512,Mutira,Kirinyaga,103,Kirinyaga Central
513,Kanyekini,Kirinyaga,103,Kirinyaga Central
514,Kerugoya,Kirinyaga,103,Kirinyaga Central
515,Inoi,Kirinyaga,103,Kirinyaga Central
516,Kanyenya-Ini,Murang'A,104,Kangema
517,Muguru,Murang'A,104,Kangema
518,Rwathia,Murang'A,104,Kangema
519,Gitugi,Murang'A,105,Mathioya
520,Kiru,Murang'A,105,Mathioya
521,Kamacharia,Murang'A,105,Mathioya
522,Wangu,Murang'A,106,Kiharu
523,Mugoiri,Murang'A,106,Kiharu
524,Mbiri,Murang'A,106,Kiharu
525,Township,Murang'A,106,Kiharu
526,Murarandia,Murang'A,106,Kiharu
527,Gaturi,Murang'A,106,Kiharu
528,Kahumbu,Murang'A,107,Kigumo
529,Muthithi,Murang'A,107,Kigumo
530,Kigumo,Murang'A,107,Kigumo
531,Kangari,Murang'A,107,Kigumo
532,Kinyona,Murang'A,107,Kigumo
533,Kimorori/Wempa,Murang'A,108,Maragwa
534,Makuyu,Murang'A,108,Maragwa
535,Kambiti,Murang'A,108,Maragwa
536,Kamahuha,Murang'A,108,Maragwa
537,Ichagaki,Murang'A,108,Maragwa
538,Nginda,Murang'A,108,Maragwa
539,Ng'Araria,Murang'A,109,Kandara
540,Muruka,Murang'A,109,Kandara
541,Kagundu-Ini,Murang'A,109,Kandara
542,Gaichanjiru,Murang'A,109,Kandara
543,Ithiru,Murang'A,109,Kandara
544,Ruchu,Murang'A,109,Kandara
545,Ithanga,Murang'A,110,Gatanga
546,Kakuzi/Mitubiri,Murang'A,110,Gatanga
547,Mugumo-Ini,Murang'A,110,Gatanga
548,Kihumbu-Ini,Murang'A,110,Gatanga
549,Gatanga,Murang'A,110,Gatanga
550,Kariara,Murang'A,110,Gatanga
551,Kiamwangi,Kiambu,111,Gatundu South
552,Kiganjo,Kiambu,111,Gatundu South
553,Ndarugu,Kiambu,111,Gatundu South
554,Ngenda,Kiambu,111,Gatundu South
555,Gituamba,Kiambu,112,Gatundu North
556,Githobokoni,Kiambu,112,Gatundu North
557,Chania,Kiambu,112,Gatundu North
558,Mang'U,Kiambu,112,Gatundu North
559,Murera,Kiambu,113,Juja
560,Theta,Kiambu,113,Juja
561,Juja,Kiambu,113,Juja
562,Witeithie,Kiambu,113,Juja
563,Kalimoni,Kiambu,113,Juja
564,Township,Kiambu,114,Thika Town
565,Kamenu,Kiambu,114,Thika Town
566,Hospital,Kiambu,114,Thika Town
567,Gatuanyaga,Kiambu,114,Thika Town
568,Ngoliba,Kiambu,114,Thika Town
569,Gitothua,Kiambu,115,Ruiru
570,Biashara,Kiambu,115,Ruiru
571,Kiuu,Kiambu,115,Ruiru
572,Githunguri,Kiambu,116,Githunguri
573,Githiga,Kiambu,116,Githunguri
574,Ikinu,Kiambu,116,Githunguri
575,Ngewa,Kiambu,116,Githunguri
576,Komothai,Kiambu,116,Githunguri
577,Ting'Ang'A,Kiambu,117,Kiambu
578,Ndumberi,Kiambu,117,Kiambu
579,Riabai,Kiambu,117,Kiambu
580,Township,Kiambu,117,Kiambu
581,Cianda,Kiambu,118,Kiambaa
582,Karuri,Kiambu,118,Kiambaa
583,Ndenderu,Kiambu,118,Kiambaa
584,Muchatha,Kiambu,118,Kiambaa
585,Kihara,Kiambu,118,Kiambaa
586,Gitaru,Kiambu,119,Kabete
587,Muguga,Kiambu,119,Kabete
588,Nyadhuna,Kiambu,119,Kabete
589,Kabete,Kiambu,119,Kabete
590,Uthiru,Kiambu,119,Kabete
591,Karai,Kiambu,120,Kikuyu
592,Nachu,Kiambu,120,Kikuyu
593,Sigona,Kiambu,120,Kikuyu
594,Kikuyu,Kiambu,120,Kikuyu
595,Kinoo,Kiambu,120,Kikuyu
596,Bibirioni,Kiambu,121,Limuru
597,Limuru Central,Kiambu,121,Limuru
598,Ndeiya,Kiambu,121,Limuru
599,Limuru East,Kiambu,121,Limuru
600,Ngecha Tigoni,Kiambu,121,Limuru
601,Kinale,Kiambu,122,Lari
602,Kijabe,Kiambu,122,Lari
603,Nyanduma,Kiambu,122,Lari
604,Kamburu,Kiambu,122,Lari
605,Lari/Kirenga,Kiambu,122,Lari
606,Kaeris,Turkana,123,Turkana North
607,Lake Zone,Turkana,123,Turkana North
608,Lapur,Turkana,123,Turkana North
609,Kaikor/Kaaleng,Turkana,123,Turkana North
610,Kibish,Turkana,123,Turkana North
611,Nakalale,Turkana,123,Turkana North
612,Kakuma,Turkana,124,Turkana West
613,Lopur,Turkana,124,Turkana West
614,Letea,Turkana,124,Turkana West
615,Songot,Turkana,124,Turkana West
616,Kalobeyei,Turkana,124,Turkana West
617,Lokichoggio,Turkana,124,Turkana West
618,Nanaam,Turkana,124,Turkana West
619,Kerio Delta,Turkana,125,Turkana Central
620,Kangatotha,Turkana,125,Turkana Central
621,Kalokol,Turkana,125,Turkana Central
622,Lodwar Township,Turkana,125,Turkana Central
623,Kanamkemer,Turkana,125,Turkana Central
624,Kotaruk/Lobei,Turkana,126,Loima
